"id","poskod","lokasi","bandar","negeri"
"1","01000","Alor Redeh","Kangar","PLS"
"2","01000","Alor Tok Terang","Kangar","PLS"
"3","01000","Bohor Gelam","Kangar","PLS"
"4","01000","Jalan Abi Tok Hashim","Kangar","PLS"
"5","01000","Jalan Alor Sena","Kangar","PLS"
"6","01000","Jalan Arau","Kangar","PLS"
"7","01000","Jalan Besar Kangar","Kangar","PLS"
"8","01000","Jalan Bohor Guncar","Kangar","PLS"
"9","01000","Jalan Bukit Meranti","Kangar","PLS"
"10","01000","Jalan Home Guard","Kangar","PLS"
"11","01000","Jalan Hospital","Kangar","PLS"
"12","01000","Jalan Jubli Perak","Kangar","PLS"
"13","01000","Jalan Kaki Bukit (Batu 4 1/2)","Kangar","PLS"
"14","01000","Jalan Kampung Wan Abdullah","Kangar","PLS"
"15","01000","Jalan Kangar","Kangar","PLS"
"16","01000","Jalan Kurung Batang","Kangar","PLS"
"17","01000","Jalan Masjid Lama","Kangar","PLS"
"18","01000","Jalan Medan Kangar","Kangar","PLS"
"19","01000","Jalan Padang Bohor","Kangar","PLS"
"20","01000","Jalan Panglima","Kangar","PLS"
"21","01000","Jalan Pegawai","Kangar","PLS"
"22","01000","Jalan Penjara","Kangar","PLS"
"23","01000","Jalan Raja Muda","Kangar","PLS"
"24","01000","Jalan Raja Syed Alwi","Kangar","PLS"
"25","01000","Jalan Raja Syed Saffi","Kangar","PLS"
"26","01000","Jalan Santan (Km 5)","Kangar","PLS"
"27","01000","Jalan Seruling","Kangar","PLS"
"28","01000","Jalan Syed Omar","Kangar","PLS"
"29","01000","Jalan Taman Bunga Padi","Kangar","PLS"
"30","01000","Jalan Teluk Kacang","Kangar","PLS"
"31","01000","Jalan Tok Kandang","Kangar","PLS"
"32","01000","Jalan Tun Razak","Kangar","PLS"
"33","01000","Jejawi","Kangar","PLS"
"34","01000","Kampung Abi Batas Paip","Kangar","PLS"
"35","01000","Kampung Abi Padang Machang","Kangar","PLS"
"36","01000","Kampung Abi Pokok Asam","Kangar","PLS"
"37","01000","Kampung Abi Tok Hashim","Kangar","PLS"
"38","01000","Kampung Alor Ara","Kangar","PLS"
"39","01000","Kampung Alor Dalam","Kangar","PLS"
"40","01000","Kampung Alor Kabong","Kangar","PLS"
"41","01000","Kampung Alor Lanchang","Kangar","PLS"
"42","01000","Kampung Alor Marus","Kangar","PLS"
"43","01000","Kampung Alor Pulai","Kangar","PLS"
"44","01000","Kampung Alor Redeh","Kangar","PLS"
"45","01000","Kampung Alor Sena","Kangar","PLS"
"46","01000","Kampung Alor","Kangar","PLS"
"47","01000","Kampung Aman","Kangar","PLS"
"48","01000","Kampung Asam 6","Kangar","PLS"
"49","01000","Kampung Aur","Kangar","PLS"
"50","01000","Kampung Bakau","Kangar","PLS"
